,food,amount (g),cal/100g,
23,"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",36.0810846,446,160.9216373
34,"SISYMBRIUM SP. SEEDS,WHL,DRIED",30.22833934,559,168.9764169
30,"OIL,SOYBN LECITHIN",24.47161517,763,186.7184237
24,"GUMS,SD GUMS (INCL LOCUST BEAN,GUAR)",23.57042759,300,70.71128277
1,"WOCAS,DRIED SEEDS,OREGON,YEL POND LILY (KLAMATH)",22.01404489,361,79.47070205
10,"PEANUT BUTTER,SMOOTH STYLE,W/ SALT",20.13361491,600,120.8016895
6,"EGG,WHL,DRIED",15.60094212,156,24.33746971
25,"PORK SKINS,BARBECUE-FLAVOR",12.58308926,500,62.9154463
22,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",11.84544602,22,2.605998124
2,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",11.61806104,34,3.950140754
0,"SNACKS,POTATO CHIPS,FRM DRIED POTATOES,FAT-FREE,W/ OLESTRA",11.54667495,487,56.23230701
14,"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,RAW",11.07843991,335,37.1127737
27,"HALIBUT,GREENLAND,RAW",8.102121476,111,8.993354838
32,"EGG,YOLK,DRIED",7.84352841,300,23.53058523
3,"PORK,FRESH,BACKFAT,RAW",7.231169613,811,58.64478556
12,"SEAWEED,AGAR,DRIED",7.167209043,306,21.93165967
21,"LEAVENING AGENTS,CRM OF TARTAR",6.804084012,,0
35,"PORK SKINS,PLAIN",5.84602533,500,29.23012665
31,"LEAVENING AGENTS,YEAST,BAKER'S,ACTIVE DRY",4.908872985,,0
11,"GRAVY,UNSPEC TYPE,DRY",4.907089344,100,4.907089344
33,"BEVERAGES,LEMONADE,PDR",3.60737616,353,12.73403784
4,"SNACKS,CANDY ROLLS,YOGURT-COVERED,FRUIT FLAV W/ HI VIT C",3.512279306,,0
17,"FORMULAT BAR,MARSNACKFOO US,SNICKE MARATHO DOUBL CHOC NUT BA",2.681252269,,0
7,"OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG)",2.12364427,,0
26,"FISH OIL,COD LIVER",2.082851782,,0
16,"KRAFT FOODS,SHAKE 'N' BAKE ORIG RECIPE,COATING FOR PORK,DRY",2.010475877,,0
19,"BEVERAGE,INST BRKFST PDR,CHOC,SUGAR-FREE,NOT RECON",1.771940515,,0
5,"FISH,SALMON,SOCKEYE,CND,DRND SOL",1.722589836,,0
15,"KALE,RAW",1.606762383,,0
18,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",1.417186906,,0
8,"HAZELNUTS,BEAKED (NORTHERN PLAINS INDIANS)",1.299178752,,0
20,"LUPINS,MATURE SEEDS,RAW",1.29774209,,0
9,"SNACKS,GRANOLA BAR,KASHI TLC BAR,CRUNCHY,MXD FLAVORS",1.189369694,,0
28,"LEAVENING AGENTS,YEAST,BAKER'S,COMPRESSED",1.102664339,,0
13,"WORTHINGTON FOODS,MORNINGSTAR FARMS GARDEN VEGE PATTIES,FRZ",1.084185434,,0
29,"PEPPERS,SWT,GRN,FREEZE-DRIED",1.07198449,,0
,,,,1134.725927
